Participant,Item Type,Condition,Proportion
1,Old,Clear,0.6496714153011233
1,Old,Blurry,0.6861735698828815
1,New,Clear,0.36476885381006924
1,New,Blurry,0.5023029856408026
2,Old,Clear,0.5765846625276664
2,Old,Blurry,0.6765863043050819
2,New,Clear,0.45792128155073913
2,New,Blurry,0.42674347291529086
3,Old,Clear,0.5530525614065047
3,Old,Blurry,0.7542560043585964
3,New,Clear,0.25365823071875376
3,New,Blurry,0.3034270246429743
4,Old,Clear,0.6241962271566034
4,Old,Blurry,0.5086719755342202
4,New,Clear,0.1275082167486967
4,New,Blurry,0.2937712470759027
5,Old,Clear,0.4987168879665576
5,Old,Blurry,0.7314247332595274
5,New,Clear,0.2091975924478789
5,New,Blurry,0.20876962986647082
6,Old,Clear,0.7465648768921553
6,Old,Blurry,0.6774223699513464
6,New,Clear,0.3067528204687924
6,New,Blurry,0.2075251813786543
7,Old,Clear,0.5455617275474817
7,Old,Blurry,0.7110922589709866
7,New,Clear,0.1849006422577697
7,New,Blurry,0.3875698018345672
8,Old,Clear,0.5399361310081194
8,Old,Blurry,0.6708306250206723
8,New,Clear,0.2398293387770603
8,New,Blurry,0.5352278184508937
9,Old,Clear,0.5986502775262066
9,Old,Blurry,0.5942289071044099
9,New,Clear,0.3822544912103189
9,New,Blurry,0.22791563500289774
10,Old,Clear,0.6208863595004755
10,Old,Blurry,0.5040329876120224
10,New,Clear,0.16718139511015692
10,New,Blurry,0.36968612358691233
11,Old,Clear,0.673846657999541
11,Old,Blurry,0.717136828118997
11,New,Clear,0.28843517176117595
11,New,Blurry,0.3198896304410711
12,Old,Clear,0.45214780096325724
12,Old,Blurry,0.6280155791605291
12,New,Clear,0.25393612290402123
12,New,Blurry,0.45571222262189154
13,Old,Clear,0.6343618289568461
13,Old,Blurry,0.5236959844637266
13,New,Clear,0.3324083969394795
13,New,Blurry,0.3114917719583683
14,Old,Clear,0.5323077999694041
14,Old,Blurry,0.7611676288840867
14,New,Clear,0.4030999522495951
14,New,Blurry,0.4431280119116198
15,Old,Clear,0.5160782476777361
15,Old,Blurry,0.6690787624148785
15,New,Clear,0.3331263431403564
15,New,Blurry,0.4475545127122359
16,Old,Clear,0.552082576215471
16,Old,Blurry,0.6814341023336182
16,New,Clear,0.18936650259939716
16,New,Blurry,0.2303793375919329
17,Old,Clear,0.6812525822394198
17,Old,Blurry,0.8356240028570823
17,New,Clear,0.2927989878419666
17,New,Blurry,0.4503532897892024
18,Old,Clear,0.6361636025047634
18,Old,Blurry,0.6354880245394875
18,New,Clear,0.3361395605508414
18,New,Blurry,0.5038036566465969
19,Old,Clear,0.5964173960890048
19,Old,Blurry,0.8564643655814006
19,New,Clear,0.03802548959102553
19,New,Blurry,0.43219025043752235
20,Old,Clear,0.608704706823817
20,Old,Blurry,0.6700992649534132
20,New,Clear,0.3091760776535502
20,New,Blurry,0.1512431085399107
21,Old,Clear,0.5780328112162488
21,Old,Blurry,0.7357112571511746
21,New,Clear,0.4477894044741516
21,New,Blurry,0.2981729781726352
22,Old,Clear,0.5191506397106812
22,Old,Blurry,0.6498242956415463
22,New,Clear,0.3915402117702074
22,New,Blurry,0.38287511096596843
23,Old,Clear,0.5470239796232961
23,Old,Blurry,0.7513267433113355
23,New,Clear,0.309707754934804
23,New,Blurry,0.4468644990532889
24,Old,Clear,0.5297946906122647
24,Old,Blurry,0.6672337853402232
24,New,Clear,0.26078918468678425
24,New,Blurry,0.20364850518678812
25,Old,Clear,0.6296120277064576
25,Old,Blurry,0.7261055272179889
25,New,Clear,0.3005113456642461
25,New,Blurry,0.3265412866624853
26,Old,Clear,0.4584629257949585
26,Old,Blurry,0.657935467723464
26,New,Clear,0.26572854834732307
26,New,Blurry,0.2697722730778381
27,Old,Clear,0.583871428833399
27,Old,Blurry,0.7404050856814538
27,New,Clear,0.488618590121053
27,New,Blurry,0.36745778128318385
28,Old,Clear,0.6257550390722764
28,Old,Blurry,0.6925554084233833
28,New,Clear,0.10812287847009583
28,New,Blurry,0.3473486124550783
29,Old,Clear,0.6060230209941027
29,Old,Blurry,0.9463242112485286
29,New,Clear,0.28076390352188774
29,New,Blurry,0.3801547342333612
30,Old,Clear,0.5965288230294756
30,Old,Blurry,0.5831321962380467
30,New,Clear,0.41428228145150203
30,New,Blurry,0.4251933032686774
